prompt_tokens,completion_tokens,latency,model
2726.0,47.0,1.041,gpt-4o
1690.0,55.0,0.938,gpt-4o
1796.0,9.0,0.482,gpt-4o
1822.0,15.0,1.246,gpt-4o
1848.0,9.0,0.531,gpt-4o
1878.0,15.0,0.598,gpt-4o
1904.0,9.0,0.435,gpt-4o
8964.0,15.0,0.857,gpt-4o
8990.0,9.0,0.11,gpt-4o
9020.0,84.0,1.711,gpt-4o
9847.0,15.0,0.951,gpt-4o
13381.0,735.0,0.13,gpt-4o
9873.0,9.0,0.63,gpt-4o
9903.0,96.0,1.757,gpt-4o
10865.0,9.0,0.865,gpt-4o
15167.0,9.0,0.932,gpt-4o
10895.0,46.0,1.348,gpt-4o
10081.0,9.0,0.858,gpt-4o
15216.0,810.0,6.606,gpt-4o
10117.0,133.0,2.324,gpt-4o
16838.0,9.0,0.953,gpt-4o
12265.0,15.0,0.206,gpt-4o
12291.0,9.0,0.802,gpt-4o
12318.0,15.0,1.334,gpt-4o
12344.0,9.0,0.87,gpt-4o
16872.0,993.0,12.58,gpt-4o
18798.0,9.0,1.07,gpt-4o
5213.0,15.0,0.834,gpt-4o
5240.0,40.0,1.184,gpt-4o
5318.0,9.0,0.5,gpt-4o
5355.0,15.0,1.309,gpt-4o
6592.0,27.0,0.772,gpt-4o
8102.0,27.0,0.922,gpt-4o
8154.0,9.0,0.679,gpt-4o
5948.0,29.0,0.941,gpt-4o
6004.0,9.0,0.67,gpt-4o
6033.0,27.0,0.995,gpt-4o
6768.0,26.0,0.856,gpt-4o
6818.0,9.0,0.583,gpt-4o
5765.0,15.0,0.801,gpt-4o
1514.0,189.0,2.734,gpt-4o
1878.0,9.0,0.515,gpt-4o
1908.0,70.0,1.131,gpt-4o
3993.0,9.0,0.574,gpt-4o
4021.0,15.0,0.735,gpt-4o
4047.0,9.0,0.526,gpt-4o
4078.0,14.0,0.665,gpt-4o
4460.0,14.0,0.609,gpt-4o
4955.0,106.0,1.648,gpt-4o
6355.0,15.0,0.963,gpt-4o
6381.0,9.0,0.523,gpt-4o
6418.0,58.0,1.407,gpt-4o
6129.0,9.0,0.789,gpt-4o
6156.0,14.0,0.715,gpt-4o
6564.0,87.0,1.531,gpt-4o
7589.0,9.0,0.754,gpt-4o
7617.0,15.0,1.111,gpt-4o
7643.0,9.0,0.619,gpt-4o
7675.0,97.0,1.904,gpt-4o
8843.0,9.0,2.598,gpt-4o
8874.0,37.0,1.156,gpt-4o
7993.0,9.0,0.841,gpt-4o
8024.0,116.0,2.064,gpt-4o
9288.0,9.0,0.817,gpt-4o
9315.0,15.0,0.807,gpt-4o
9341.0,9.0,1.053,gpt-4o
3078.0,688.0,9.327,gpt-4o
4570.0,659.0,8.479,gpt-4o
5861.0,9.0,0.496,gpt-4o
5892.0,15.0,0.925,gpt-4o
5918.0,9.0,0.574,gpt-4o
1967.0,27.0,0.665,gpt-4o
3223.0,698.0,9.004,gpt-4o
5895.0,656.0,0.06,gpt-4o
4482.0,9.0,0.65,gpt-4o
6985.0,588.0,6.699,gpt-4o
8134.0,9.0,0.567,gpt-4o
8160.0,15.0,0.919,gpt-4o
8186.0,23.0,0.763,gpt-4o
5791.0,9.0,0.477,gpt-4o
